Date,Model,FLOP,Joules/FLOP,Data (tokens),GPU,Energy (Joules),US energy price (cents/kwh),Total energy spend ($),Talent Hours,Num Authors,MMLU,HellaSwag,HumanEval,,Historical
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
,,#NUM!,0,#NUM!,,,,,,,,,,,
